Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales;f__Stictidaceae;g__Ostropa	0.64	0	1.0	5
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales	0.6	0	1.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes	0.859	0	1.0	14553
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae	0.569	0	1.0	119
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Blumeria	0.93	0	1.0	61
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Pleochaeta	0.52	0	1.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.745	0	1.0	63256
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Bulgariaceae;g__Bulgaria	0.541	0	1.0	5180
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae	0.553	0	1.0	15
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Mollisia	0.818	0	1.0	138
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Neofabraea	0.761	0	1.0	188
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Pezicula	0.587	0	1.0	9
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae	0.594	0	1.0	6329
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Ascocoryne	0.894	0	1.0	259
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Chlorencoelia	0.54	0	1.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Chloroscypha	0.556	0	1.0	161
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crinula	0.565	0	1.0	955
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Cudoniella	0.821	0	1.0	893
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Godronia	0.566	0	1.0	38
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Heyderia	0.71	0	1.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Hymenoscyphus	0.613	0	1.0	106
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Ombrophila	0.657	0	1.0	389
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tricladium	0.863	0	1.0	1424
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales incertae sedis	0.599	0	1.0	40760
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales incertae sedis;g__Aquapoterium	0.799	0	1.0	263
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales incertae sedis;g__Chalara	0.667	0	1.0	6042
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales incertae sedis;g__Clathrosporium	0.597	0	1.0	10
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales incertae sedis;g__Eleutheromyces	0.57	0	1.0	616
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales incertae sedis;g__Fulvoflamma	0.596	0	1.0	18544
