Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Hypocreales_unidentified_1	genus	0	5	1	2	0	0	645	1	1	0	0	9	0	1	10	0	0	0	2	0	16	3	0	3	2	0	0	3
Incertae_sedis_3	family	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acremonium	genus	0	0	0	0	0	0	4	0	3	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilyonectria	genus	29	0	4	0	10	4	22	0	1	2	13	0	16	0	32	0	0	0	2	0	179	2	0	24	4	3	4	9
Myrothecium	genus	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarocladium	genus	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stachybotrys	genus	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nectriaceae	family	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Flagellospora	genus	78	0	1	0	0	0	189	0	0	0	0	0	0	0	105	0	0	0	0	0	12	29	0	24	60	17	1	0
Fusarium	genus	1	11	9	3	2	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	4	41	8	3	3	0	0	0
Gibberella	genus	0	0	1	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Nectria	genus	2	0	0	0	0	0	0	0	0	0	3	4	0	0	2	0	0	1	4	0	4	0	0	4	5	0	2	0
