Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Trichocomaceae_unidentified	0.962	308	0.0	7127
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiomycetes_unidentified;f__Eurotiomycetes_unidentified_1;g__Eurotiomycetes_unidentified_1	0.602	311	0.0	5
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Incertae_sedis_18;f__Incertae_sedis_40;g__Sarcinomyces	0.92	318	0.0	6
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Arthrodermataceae;g__Arthroderma	0.92	319	0.0	1
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Onygenaceae_unidentified	1.0	301	0.0	7
d__Fungi;p__Ascomycota;c__Incertae_sedis_14;o__Incertae_sedis_15;f__Incertae_sedis_16	0.525	295	0.0	2
d__Fungi;p__Ascomycota;c__Incertae_sedis_14;o__Incertae_sedis_15;f__Incertae_sedis_16;g__Calcarisporiella	0.962	443	0.0	359
d__Fungi;p__Ascomycota;c__Incertae_sedis_14;o__Incertae_sedis_15;f__Incertae_sedis_16;g__Chalara	0.978	293	0.0	1270
d__Fungi;p__Ascomycota;c__Incertae_sedis_14;o__Incertae_sedis_15;f__Incertae_sedis_16;g__Gyoerffyella	0.915	294	0.0	712
d__Fungi;p__Ascomycota;c__Incertae_sedis_14;o__Incertae_sedis_15;f__Incertae_sedis_16;g__Knufia	0.52	309	0.0	1
d__Fungi;p__Ascomycota;c__Incertae_sedis_14;o__Incertae_sedis_15;f__Incertae_sedis_16;g__Ochroconis	0.989	325	0.0	23
d__Fungi;p__Ascomycota;c__Incertae_sedis_14;o__Incertae_sedis_15;f__Incertae_sedis_16;g__Phaeoisaria	0.68	352	0.0	1
d__Fungi;p__Ascomycota;c__Incertae_sedis_14;o__Incertae_sedis_15;f__Incertae_sedis_16;g__Xenochalara	0.99	292	0.0	1
d__Fungi;p__Ascomycota;c__Lecanoromycetes	0.54	297	0.0	55
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales	0.5	287	0.0	2
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Cladoniaceae;g__Cladonia	1.0	309	0.0	13
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanorales_unidentified;g__Lecanorales_unidentified_1	0.937	292	0.0	23
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae	0.628	298	0.0	4
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae;g__Nodobryoria	1.0	298	0.0	9
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae;g__Parmelia	0.636	286	0.0	133
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanoromycetes_unidentified;f__Lecanoromycetes_unidentified_1;g__Lecanoromycetes_unidentified_1	0.994	292	0.0	663
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Physciaceae;g__Phaeophyscia	1.0	304	0.0	1
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Physciaceae;g__Physcia	0.91	300	0.0	1
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;g__Teloschistaceae_unidentified	0.564	300	0.0	5
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Umbilicariales;f__Umbilicariaceae;g__Umbilicaria	0.87	304	0.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes	0.771	295	0.0	5201
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Geoglossales;f__Geoglossaceae	0.531	301	0.0	11
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Geoglossales;f__Geoglossaceae;g__Geoglossaceae_unidentified	0.745	311	0.0	2
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Geoglossales;f__Geoglossaceae;g__Geoglossum	0.963	310	0.0	221
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Geoglossales;f__Geoglossaceae;g__Sabuloglossum	0.872	300	0.0	5
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Geoglossales;f__Geoglossaceae;g__Trichoglossum	1.0	340	0.0	2
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.589	294	0.0	13980
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae	0.656	292	0.0	7
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Cryptosporiopsis	0.954	293	0.0	241
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Dermateaceae_unidentified	0.965	294	0.0	331
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Mollisia	0.6	291	0.0	2
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae	0.657	291	0.0	13
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Claussenomyces	0.515	293	0.0	4
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crocicreas	0.56	291	0.0	3
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Helotiaceae_unidentified	0.976	295	0.0	254
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Hymenoscyphus	0.891	293	0.0	37
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Neobulgaria	0.764	290	0.0	86
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Rhizoscyphus	0.943	290	0.0	67
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_unidentified;g__Helotiales_unidentified_1	0.924	293	0.0	77922
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hemiphacidiaceae	0.871	292	0.0	9
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hemiphacidiaceae;g__Meria	0.57	292	0.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hemiphacidiaceae;g__Rhabdocline	0.56	291	0.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae	0.706	293	0.0	5
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Albotricha	0.617	293	0.0	3
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella	0.663	293	0.0	3
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Haplographium	0.73	289	0.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha	0.956	292	0.0	18
